更新日,URL,タイトル,備考
2021/11/21,https://myna.go.jp/,医療費通知情報の閲覧機能をリリースしました,
2021/11/21,https://www.digital.go.jp/meeting/posts/9kD1WCFK,トラストを確保したDX推進サブワーキンググループ（第1回）を開催しました,
2021/11/21,https://www.digital.go.jp/meeting/posts/54yivy_u,デジタル臨時行政調査会（第1回）を開催しました,
2021/11/21,https://www.digital.go.jp/posts/4PB81KNy,自治体職員×政府機関職員「デジタル改革共創プラットフォーム」が始まります,
2021/11/21,https://www.digital.go.jp/meeting#digital-extraordinary-administrative-research-committee,デジタル臨時行政調査会を開催します,
2021/11/21,https://www.digital.go.jp/posts/fP9l2KD4,新重点計画の策定に向けてご意見を募集します,
2021/11/21,https://www.digital.go.jp/meeting/posts/NbtVwXoh,第2回デジタル社会構想会議を開催しました,
2021/11/21,https://www.digital.go.jp/posts/7bIjgz40,データ戦略へのご意見をお寄せください,
2021/11/21,https://www.digital.go.jp/posts/ZYzU5DYY,ガバメントクラウド先行事業（市町村の基幹業務システム等）の採択結果を公表しました,
2021/11/21,https://www.digital.go.jp/posts/zytWmjcS,デジタル庁におけるガバメント・クラウド整備のためのクラウドサービスの提供－令和3年度地方公共団体による先行事業及びデジタル庁WEBサイト構築業務－の公募結果について,
